feature	produced_by	gate	class	in_champion	note
assessed_dm20	compute_tractability_axis	-	-		
assessed_dm200	compute_tractability_axis	-	-		
assessed_dm50	compute_tractability_axis	-	-		
assessed_exp10	compute_tractability_axis	-	-		
assessed_exp100	compute_tractability_axis	-	-		
assessed_exp20	compute_tractability_axis	-	-		
assessed_exp200	compute_tractability_axis	-	-		
assessed_exp50	compute_tractability_axis	-	-		
assessed_naive10	compute_tractability_axis	-	-		
assessed_naive100	compute_tractability_axis	-	-		
assessed_naive20	compute_tractability_axis	-	-		
assessed_naive200	compute_tractability_axis	-	-		
assessed_naive50	compute_tractability_axis	-	-		
assessed_obs10	compute_tractability_axis	-	-		
assessed_obs100	compute_tractability_axis	-	-		
assessed_obs20	compute_tractability_axis	-	-		
assessed_obs200	compute_tractability_axis	-	-		
assessed_obs50	compute_tractability_axis	-	-		
auc	compute_breast_panel	-	-		
auc_assoc_labels	compute_drug_target_benchmark	-	-		
auc_disease	compute_validation_auc_by_disease	-	-		
auc_drug_targets	compute_drug_target_benchmark	-	-		
auc_hi95	compute_breast_panel	-	-		
auc_hi95	compute_validation_auc_ci	-	-		
auc_lo95	compute_breast_panel	-	-		
auc_lo95	compute_validation_auc_ci	-	-		
auc_se	compute_breast_panel	-	-		
auc_se	compute_validation_auc_ci	-	-		
auc_trustworthy	compute_breast_panel	-	-		
auc_trustworthy	compute_validation_auc_ci	-	-		
base_rate_pct	compute_breast_panel	-	-		
best_rank	compute_drug_target_benchmark	-	-		
clustering_coefficient	compute_enriched_node_centrality_1	-	-		
count	compute_graph_label_evidence	-	-		
count	compute_graph_node_source_counts	-	-		
count	compute_graph_node_type_counts	-	-		
count	compute_graph_ppi_provenance	-	-		
count	compute_graph_relation_counts	-	-		
count	compute_pairwise_overlap	-	-		
count	compute_shap_driver_frequency	-	-		
count	compute_validation_set_scored_grouped	-	-		
count	group_family_auc	-	-		
coverage_pct	compute_pool_reachability	-	-		
degree	compute_enriched_node_centrality_1	-	-		
demonstrated_dm10	compute_tractability_axis	-	-		
demonstrated_dm100	compute_tractability_axis	-	-		
demonstrated_dm20	compute_tractability_axis	-	-		
demonstrated_dm200	compute_tractability_axis	-	-		
demonstrated_dm50	compute_tractability_axis	-	-		
demonstrated_exp10	compute_tractability_axis	-	-		
demonstrated_exp100	compute_tractability_axis	-	-		
demonstrated_exp20	compute_tractability_axis	-	-		
demonstrated_exp200	compute_tractability_axis	-	-		
demonstrated_exp50	compute_tractability_axis	-	-		
demonstrated_naive10	compute_tractability_axis	-	-		
demonstrated_naive100	compute_tractability_axis	-	-		
demonstrated_naive20	compute_tractability_axis	-	-		
demonstrated_naive200	compute_tractability_axis	-	-		
demonstrated_naive50	compute_tractability_axis	-	-		
demonstrated_obs10	compute_tractability_axis	-	-		
demonstrated_obs100	compute_tractability_axis	-	-		
demonstrated_obs20	compute_tractability_axis	-	-		
demonstrated_obs200	compute_tractability_axis	-	-		
demonstrated_obs50	compute_tractability_axis	-	-		
depth_a	compute_family_panel_overlap	-	-		
depth_b	compute_family_panel_overlap	-	-		
depth_gap	compute_family_panel_overlap	-	-		
disease	compute_breast_panel	-	-		
disease	compute_demo_panel_config	-	-		
disease	compute_filter_three_axes	-	-		
disease	compute_novel_discovery_eval	-	-		
disease	compute_pool_reachability	-	-		
disease	compute_tractability_axis	-	-		
disease_a	compute_family_panel_overlap	-	-		
disease_b	compute_family_panel_overlap	-	-		
disease_b	compute_top50_slim_b	-	-		
disease_context	compute_enriched_disease_context_1	module_size >= 20	1		Settled 2026-08-21 from the newly mirrored Cypher. The gate filters the ANCHOR D only; D2 is matched fresh via (D)-[:disease_disease]-(D2) with NO module_size filter, so an existing (g,D) pair's disease_context cannot change. Was flagged unresolved before the mirror existed.
disease_family_id	compute_disease_family_id	-	-		
disease_index	compute_drug_evidence_pairs	-	-		
disease_index	compute_dwpc_go_metapaths	MIN_MODULE 20	2		THE ONLY CLASS 2. `assoc` (per-gene disease degree) is computed over the ELIGIBLE disease set and feeds the DWPC weight, so widening eligibility changes dwpc_GBGD/dwpc_GFGD for EXISTING pairs. A 20->5 change was applied and REVERTED on 2026-08-20 for this reason. Phase 3 HOLDS this at 20 to keep the pre-change population byte-identical.
disease_index	compute_enriched_disease_context_1	module_size >= 20	1		Settled 2026-08-21 from the newly mirrored Cypher. The gate filters the ANCHOR D only; D2 is matched fresh via (D)-[:disease_disease]-(D2) with NO module_size filter, so an existing (g,D) pair's disease_context cannot change. Was flagged unresolved before the mirror existed.
disease_index	compute_enriched_dwpc_GCD	module_size >= 20	1		POOL ROUTE, compound-mediated. Not a model feature -- pool membership only (see _champion_features_provenance). Source of the 5.2.1 selection bias.
disease_index	compute_enriched_dwpc_GGD	module_size >= 20	1		POOL ROUTE. Degrees come from whole-graph COUNT{} subqueries; module_size is per-disease with LOO. Verified in dss_recipes/cypher/.
disease_index	compute_enriched_dwpc_GPGD	module_size >= 20	1		POOL ROUTE. Same structure as GGD, pathway-mediated middle node.
disease_index	compute_enriched_guilt_by_association_1	module_size >= 20	1		deg_m and ppi_deg_g are whole-graph COUNT{} over protein_protein, halved for the both-directions Kuzu build. Emits ppi_adamic_adar, ppi_jaccard.
disease_index	compute_enriched_module_size_1	module_size >= 20	1		Trivially per-disease. WARNING: this dataset is itself gated, so its minimum IS 20 -- it cannot be used to size the sub-20 population. Use graph_edges disease_protein directly (FEATURE_AUDIT section 5).
disease_index	compute_enriched_prox_closest	MIN_SEEDS 5; POOL_MIN 20	1		Per-disease BFS. Phase 1 already lowered MIN_SEEDS to 5 and capped with POOL_MIN=20 so the population would not move; Phase 3 lowers POOL_MIN. Emits prox_closest, prox_mean, prox_kernel, prox_n_reach.
disease_index	compute_enriched_rwr_score_1	MIN_SEEDS 20	1		MIN_SEEDS gate inside a per-disease loop; adjacency and degrees are global. Was UNVERSIONED until 2026-08-21 -- a gated recipe with no diff history.
disease_index	compute_enriched_shared_pathway_count_1	module_size >= 20	1		n_pathways_g is a whole-graph COUNT{} over pathway_protein, so the frac denominator does not move with eligibility.
disease_index	compute_known_drug_truth	-	-		
disease_index	compute_ppi_cn_zscore	-	-		
disease_name	compute_drug_target_benchmark	-	-		
disease_name	join_disease_name	-	-		
disease_pool_size	finalize_dashboard_candidates	-	-		
disease_split_key	compute_disease_family_id	-	-		
doid	extract_hetionet_disease_slim	-	-		
driver_slot	compute_shap_drivers_long	-	-		
druggability_class	compute_drug_classified	-	-		
druggability_evidence	compute_drug_classified	-	-		
dwpc_GCD	compute_enriched_dwpc_GCD	module_size >= 20	1		POOL ROUTE, compound-mediated. Not a model feature -- pool membership only (see _champion_features_provenance). Source of the 5.2.1 selection bias.
eigenvector_centrality	compute_enriched_node_centrality_1	-	-		
enrichment_at_50	compute_breast_panel	-	-		
ev_rank	compute_drug_classified	-	-		
expected_at_50	compute_breast_panel	-	-		
explanations	score_persona_candidates	-	-		
feature	compute_shap_drivers_long	-	-		
gene	compute_family_panel_top50	-	-		
gene_index	compute_drug_evidence_pairs	-	-		
gene_index	compute_dwpc_go_metapaths	MIN_MODULE 20	2		THE ONLY CLASS 2. `assoc` (per-gene disease degree) is computed over the ELIGIBLE disease set and feeds the DWPC weight, so widening eligibility changes dwpc_GBGD/dwpc_GFGD for EXISTING pairs. A 20->5 change was applied and REVERTED on 2026-08-20 for this reason. Phase 3 HOLDS this at 20 to keep the pre-change population byte-identical.
gene_index	compute_enriched_degree_controls_1	-	-		
gene_index	compute_enriched_disease_context_1	module_size >= 20	1		Settled 2026-08-21 from the newly mirrored Cypher. The gate filters the ANCHOR D only; D2 is matched fresh via (D)-[:disease_disease]-(D2) with NO module_size filter, so an existing (g,D) pair's disease_context cannot change. Was flagged unresolved before the mirror existed.
gene_index	compute_enriched_dwpc_GCD	module_size >= 20	1		POOL ROUTE, compound-mediated. Not a model feature -- pool membership only (see _champion_features_provenance). Source of the 5.2.1 selection bias.
gene_index	compute_enriched_dwpc_GGD	module_size >= 20	1		POOL ROUTE. Degrees come from whole-graph COUNT{} subqueries; module_size is per-disease with LOO. Verified in dss_recipes/cypher/.
gene_index	compute_enriched_dwpc_GPGD	module_size >= 20	1		POOL ROUTE. Same structure as GGD, pathway-mediated middle node.
gene_index	compute_enriched_gene_safety_v2	-	-		
gene_index	compute_enriched_guilt_by_association_1	module_size >= 20	1		deg_m and ppi_deg_g are whole-graph COUNT{} over protein_protein, halved for the both-directions Kuzu build. Emits ppi_adamic_adar, ppi_jaccard.
gene_index	compute_enriched_inflammatory_go	-	-		
gene_index	compute_enriched_prox_closest	MIN_SEEDS 5; POOL_MIN 20	1		Per-disease BFS. Phase 1 already lowered MIN_SEEDS to 5 and capped with POOL_MIN=20 so the population would not move; Phase 3 lowers POOL_MIN. Emits prox_closest, prox_mean, prox_kernel, prox_n_reach.
gene_index	compute_enriched_rwr_score_1	MIN_SEEDS 20	1		MIN_SEEDS gate inside a per-disease loop; adjacency and degrees are global. Was UNVERSIONED until 2026-08-21 -- a gated recipe with no diff history.
gene_index	compute_enriched_shared_pathway_count_1	module_size >= 20	1		n_pathways_g is a whole-graph COUNT{} over pathway_protein, so the frac denominator does not move with eligibility.
gene_index	compute_gene_localization	-	-		
gene_index	compute_known_drug_truth	-	-		
gene_index	compute_ppi_cn_zscore	-	-		
gene_index	compute_ppi_evidence_depth	-	-		
gene_index_count	count_candidates_per_disease	-	-		
gene_n_diseases	compute_enriched_degree_controls_1	-	-		
gene_name	decorate_target_candidates	-	-		
ground_truth	compute_novel_discovery_eval	-	-		
has_approved_drug	compute_drug_classified	-	-		
has_inflammatory_go_annotation	compute_enriched_inflammatory_go	-	-		
hits50_poisson_p	compute_breast_panel	-	-		
hits50_verdict	compute_breast_panel	-	-		
hits_at_10	compute_validation_set_scored_grouped	-	-		
hits_at_10	group_family_auc	-	-		
hits_at_20	compute_validation_set_scored_grouped	-	-		
hits_at_20	group_family_auc	-	-		
hits_at_50	compute_breast_panel	-	-		
hits_at_50	compute_drug_target_benchmark	-	-		
hits_at_50	compute_validation_set_scored_grouped	-	-		
hits_at_50	group_family_auc	-	-		
hits_at_top10pct	compute_drug_target_benchmark	-	-		
hits_at_top1pct	compute_drug_target_benchmark	-	-		
hits_top10	compute_novel_discovery_eval	-	-		
hits_top100	compute_novel_discovery_eval	-	-		
hits_top20	compute_novel_discovery_eval	-	-		
hits_top200	compute_novel_discovery_eval	-	-		
hits_top50	compute_novel_discovery_eval	-	-		
hits_top50	compute_persona_candidates	-	-		
hop_depth	compute_disease_family_id	-	-		
in_act3	compute_demo_panel_config	-	-		
in_act4	compute_demo_panel_config	-	-		
in_approved_join	compute_known_drug_truth	-	-		
in_investig_join	compute_known_drug_truth	-	-		
inv_kept	compute_filter_three_axes	-	-		
inv_lift	compute_filter_three_axes	-	-		
inv_recall	compute_filter_three_axes	-	-		
investigational_for_disease	compute_drug_evidence_pairs	-	-		
investigational_novel_exp50	compute_breast_panel	-	-		
investigational_novel_hits50	compute_breast_panel	-	-		
investigational_novel_lift50	compute_breast_panel	-	-		
investigational_novel_total	compute_breast_panel	-	-		
is_eligible	compute_disease_eligibility	-	-		
is_membrane_only	compute_gene_localization	-	-		
is_plasma_membrane	compute_gene_localization	-	-		
is_secreted	compute_gene_localization	-	-		
is_target	compute_enriched_graph_features_1	-	-		
jaccard_top50	compute_family_panel_overlap	-	-		
kd08_kept	compute_filter_three_axes	-	-		
kd08_lift	compute_filter_three_axes	-	-		
kd08_recall	compute_filter_three_axes	-	-		
lift_top10	compute_novel_discovery_eval	-	-		
lift_top100	compute_novel_discovery_eval	-	-		
lift_top20	compute_novel_discovery_eval	-	-		
lift_top200	compute_novel_discovery_eval	-	-		
lift_top50	compute_novel_discovery_eval	-	-		
localization_class	compute_gene_localization	-	-		
lof_intolerant	compute_enriched_gene_safety_v2	-	-		
mean_proba	compute_hub_bias_meter	-	-		
median_degree	compute_hub_bias_meter	-	-		
median_pct	compute_drug_target_benchmark	-	-		
module_size	compute_enriched_module_size_1	module_size >= 20	1		Trivially per-disease. WARNING: this dataset is itself gated, so its minimum IS 20 -- it cannot be used to size the sub-20 population. Use graph_edges disease_protein directly (FEATURE_AUDIT section 5).
n	compute_filter_three_axes	-	-		
n_anchor_families	compute_split_audit_2	-	-		
n_assoc_positives	compute_drug_target_benchmark	-	-		
n_cand	compute_tractability_axis	-	-		
n_curated	compute_pool_reachability	-	-		
n_diseases	compute_split_audit_2	-	-		
n_diseases_in_family	group_family_auc	-	-		
n_distinct_genes	group_family_auc	-	-		
n_genes	compute_drug_target_benchmark	-	-		
n_genes	compute_hub_bias_meter	-	-		
n_known	compute_novel_discovery_eval	-	-		
n_known_targets	compute_breast_panel	-	-		
n_leaves_in_family	compute_family_panel_programme	-	-		
n_leaves_sharing	compute_family_panel_programme	-	-		
n_neg	compute_validation_set_scored_grouped	-	-		
n_neg	group_family_auc	-	-		
n_novel	compute_breast_panel	-	-		
n_novel	compute_novel_discovery_eval	-	-		
n_pos	compute_validation_set_scored_grouped	-	-		
n_pos	group_family_auc	-	-		
n_reachable	compute_pool_reachability	-	-		
n_rows	compute_hub_bias_meter	-	-		
n_split_keys	compute_split_audit_2	-	-		
n_unreachable	compute_pool_reachability	-	-		
n_validated_targets	compute_drug_target_benchmark	-	-		
near_duplicate	compute_family_panel_overlap	-	-		
node_group	compute_enriched_node_centrality_1	-	-		
node_id	compute_enriched_node_centrality_1	-	-		
novel50_tractable	compute_breast_panel	-	-		
novel50_tractable_pct	compute_breast_panel	-	-		
novel_base_rate_pct	compute_novel_discovery_eval	-	-		
novel_linked_total	compute_novel_discovery_eval	-	-		
novel_overlap	compute_family_panel_overlap	-	-		
novel_rank	compute_family_panel_top50	-	-		
pagerank	compute_enriched_node_centrality_1	-	-		
pair_kind	compute_family_panel_overlap	-	-		
pct_membrane_all	compute_tractability_axis	-	-		
pct_membrane_top50	compute_tractability_axis	-	-		
pct_predicted_positive	compute_hub_bias_meter	-	-		
pct_secreted_all	compute_tractability_axis	-	-		
pct_secreted_top50	compute_tractability_axis	-	-		
pool	compute_breast_panel	-	-		
pool	compute_family_panel_top50	-	-		
pool_size	compute_pool_reachability	-	-		
pos_rate_pct	compute_split_audit_2	-	-		
positives	compute_split_audit_2	-	-		
ppi_cn_expected	compute_ppi_cn_zscore	-	-		
ppi_common_neighbors	compute_enriched_guilt_by_association_1	module_size >= 20	1		deg_m and ppi_deg_g are whole-graph COUNT{} over protein_protein, halved for the both-directions Kuzu build. Emits ppi_adamic_adar, ppi_jaccard.
ppi_edges_with_provenance	compute_ppi_evidence_depth	-	-		
prediction	score_persona_candidates	-	-		
prediction	score_psplit_validation_m7	-	-		
proba_0	score_persona_candidates	-	-		
proba_0	score_psplit_validation_m7	-	-		
proba_1	score_persona_candidates	-	-		
proba_1	score_psplit_validation_m7	-	-		
prox_mean	compute_enriched_prox_closest	MIN_SEEDS 5; POOL_MIN 20	1		Per-disease BFS. Phase 1 already lowered MIN_SEEDS to 5 and capped with POOL_MIN=20 so the population would not move; Phase 3 lowers POOL_MIN. Emits prox_closest, prox_mean, prox_kernel, prox_n_reach.
prox_n_reach	compute_enriched_prox_closest	MIN_SEEDS 5; POOL_MIN 20	1		Per-disease BFS. Phase 1 already lowered MIN_SEEDS to 5 and capped with POOL_MIN=20 so the population would not move; Phase 3 lowers POOL_MIN. Emits prox_closest, prox_mean, prox_kernel, prox_n_reach.
quintile	compute_hub_bias_meter	-	-		
rank	compute_validation_set_scored_windows	-	-		
rank	window_family_rank	-	-		
rank_in_disease	compute_family_panel_top50	-	-		
rank_in_disease	join_disease_name	-	-		
rank_in_subtype	compute_family_panel_programme	-	-		
rank_percentile	finalize_dashboard_candidates	-	-		
recall_at_20	compute_validation_auc_by_disease	-	-		
recall_ceiling	compute_pool_reachability	-	-		
rho_degree_proba	compute_hub_bias_meter	-	-		
role_a	compute_family_panel_overlap	-	-		
role_b	compute_family_panel_overlap	-	-		
rwr_norm	compute_enriched_graph_features_1	-	-		
rwr_score	compute_enriched_rwr_score_1	MIN_SEEDS 20	1		MIN_SEEDS gate inside a per-disease loop; adjacency and degrees are global. Was UNVERSIONED until 2026-08-21 -- a gated recipe with no diff history.
safety_flag	compute_enriched_gene_safety_v2	-	-		
scope	compute_family_panel_programme	-	-		
scope	compute_tractability_axis	-	-		
score	join_disease_name	-	-		
shared_genes	compute_family_panel_overlap	-	-		
shared_pathway_count	compute_enriched_shared_pathway_count_1	module_size >= 20	1		n_pathways_g is a whole-graph COUNT{} over pathway_protein, so the frac denominator does not move with eligibility.
split_key_name	compute_disease_family_id	-	-		
split_key_rule	compute_disease_family_id	-	-		
stage	compute_filter_three_axes	-	-		
subtype	compute_family_panel_programme	-	-		
target_rank_sum	compute_validation_set_scored_grouped	-	-		
target_rank_sum	group_family_auc	-	-		
test	compute_split_audit_2	-	-		
threshold	compute_hub_bias_meter	-	-		
top10_novel_genes	compute_breast_panel	-	-		
top_shap_drivers	compute_top_shap_drivers_1	-	-		
tract_kept	compute_filter_three_axes	-	-		
tract_lift	compute_filter_three_axes	-	-		
tract_recall	compute_filter_three_axes	-	-		
triangles	compute_enriched_node_centrality_1	-	-		
validated_also_assoc	compute_drug_target_benchmark	-	-		
validation	compute_split_audit_2	-	-		
